epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1016.99,1.4765,2.32855,0.63153,1.00189,0.82946,0.76661,0.84156,0.49822,0.74008,0.67238,0.68803,0.27622,1.40781,2.34526,0.62189,0.99177,0.0088714,0.0088714,0.0088714
59,2013.63,1.48624,2.34208,0.63542,1.00188,0.82442,0.76285,0.83912,0.49437,0.73347,0.66665,0.68664,0.27583,1.42029,2.36556,0.62859,0.99322,0.0088516,0.0088516,0.0088516
60,3012.15,1.47953,2.33854,0.63442,1.00225,0.82744,0.76589,0.84096,0.49617,0.7368,0.67244,0.68882,0.27576,1.41624,2.41932,0.6244,0.99282,0.0088318,0.0088318,0.0088318
61,3993.73,1.47743,2.33795,0.63168,0.99889,0.82527,0.76674,0.84039,0.49417,0.73303,0.66783,0.68294,0.274,1.4171,2.40198,0.62827,0.99021,0.008812,0.008812,0.008812
62,4997.08,1.47875,2.34389,0.63114,1.00014,0.82676,0.76998,0.84146,0.49796,0.73661,0.67408,0.68698,0.27686,1.41125,2.36645,0.62224,0.9922,0.0087922,0.0087922,0.0087922
63,5996.12,1.47188,2.32525,0.63125,0.99855,0.82129,0.7707,0.83985,0.49714,0.72797,0.67325,0.68098,0.27177,1.41301,2.38298,0.62786,0.99091,0.0087724,0.0087724,0.0087724
64,7016.07,1.47025,2.30297,0.62931,0.99865,0.82413,0.76619,0.84023,0.49775,0.73235,0.66969,0.68769,0.27761,1.40848,2.38653,0.62451,0.9909,0.0087526,0.0087526,0.0087526
65,8064.8,1.47605,2.33134,0.6292,0.9989,0.82868,0.76831,0.8429,0.50021,0.74205,0.6741,0.69466,0.28276,1.41044,2.38997,0.62163,0.99085,0.0087328,0.0087328,0.0087328
66,9119.12,1.48295,2.32531,0.6325,1.00165,0.82925,0.76171,0.84026,0.49859,0.74071,0.66742,0.69131,0.27949,1.41146,2.35953,0.62247,0.99244,0.008713,0.008713,0.008713
67,10190.2,1.47703,2.34066,0.6309,0.99873,0.82469,0.76708,0.84081,0.49781,0.73357,0.66957,0.68648,0.27729,1.41045,2.37427,0.62251,0.99074,0.0086932,0.0086932,0.0086932
68,11237.2,1.47014,2.31837,0.62995,0.9998,0.82184,0.76983,0.84068,0.49776,0.73198,0.6739,0.68814,0.27836,1.40929,2.38988,0.62343,0.99055,0.0086734,0.0086734,0.0086734
69,12285.9,1.4812,2.35158,0.63438,1.00324,0.82858,0.76952,0.84227,0.50019,0.74294,0.67595,0.69645,0.28311,1.40875,2.39938,0.62071,0.99149,0.0086536,0.0086536,0.0086536
70,13330.7,1.47727,2.34323,0.63114,1.00043,0.82744,0.76662,0.84076,0.49784,0.73849,0.67448,0.69159,0.27986,1.41088,2.4056,0.62249,0.99118,0.0086338,0.0086338,0.0086338
71,14354.6,1.47403,2.33157,0.63268,1.00427,0.82983,0.76721,0.84177,0.49942,0.74356,0.67533,0.69505,0.28255,1.41111,2.35721,0.62144,0.99108,0.008614,0.008614,0.008614
72,15362.5,1.47362,2.32843,0.62951,0.99903,0.82726,0.76792,0.84201,0.49872,0.73662,0.67323,0.68985,0.27984,1.40867,2.38491,0.62201,0.9891,0.0085942,0.0085942,0.0085942
73,16363,1.46555,2.30688,0.62682,0.99782,0.82688,0.77224,0.84256,0.49931,0.74001,0.67686,0.69339,0.28087,1.4076,2.35972,0.619,0.99028,0.0085744,0.0085744,0.0085744
74,17362.9,1.4601,2.30223,0.62623,1.00091,0.83303,0.76756,0.84427,0.50184,0.74638,0.67819,0.69946,0.28379,1.40087,2.34261,0.6149,0.98961,0.0085546,0.0085546,0.0085546
75,18378.3,1.47582,2.33733,0.62869,0.99901,0.82696,0.76835,0.84224,0.50023,0.73856,0.67322,0.69171,0.28042,1.40432,2.37785,0.61657,0.98932,0.0085348,0.0085348,0.0085348
76,19399.7,1.46018,2.31945,0.62473,0.9967,0.82995,0.7691,0.84326,0.50161,0.74589,0.67618,0.69978,0.28627,1.40096,2.34114,0.61587,0.9896,0.008515,0.008515,0.008515
77,20392.6,1.46061,2.30943,0.62562,0.99898,0.82839,0.7668,0.84229,0.49963,0.74142,0.67356,0.69351,0.28191,1.40541,2.38078,0.61977,0.98841,0.0084952,0.0084952,0.0084952
78,21391,1.45992,2.29728,0.62366,0.99644,0.82855,0.76914,0.84318,0.50016,0.74314,0.67576,0.69653,0.28302,1.40601,2.36196,0.61842,0.98911,0.0084754,0.0084754,0.0084754
79,22389.3,1.46703,2.32751,0.62584,0.99708,0.82811,0.77127,0.84378,0.50222,0.74305,0.67786,0.69822,0.28496,1.40034,2.34404,0.61489,0.98891,0.0084556,0.0084556,0.0084556
