epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.168,0.5527,0.99892,0.96902,1.06921,0.91313,0.99178,0.98215,0.90815,0.91313,0.99178,0.98215,0.90344,0.34727,0.51901,0.29373,0.90877,0.00333119,0.00333119,0.00333119
2,1091.64,0.51491,0.82634,0.654,1.00301,0.87185,0.95961,0.94694,0.83877,0.88648,0.94194,0.95371,0.82748,0.43384,0.68258,0.78474,0.87913,0.00665133,0.00665133,0.00665133
3,1628.27,0.60072,0.89713,0.71066,1.04174,0.91426,0.93351,0.949,0.85034,0.9051,0.93699,0.94901,0.84926,0.41794,0.77048,0.50224,0.93986,0.00995827,0.00995827,0.00995827
4,2164.61,0.64875,0.947,0.70588,1.07643,0.9356,0.90453,0.97413,0.85922,0.9356,0.90453,0.97413,0.87122,0.55729,0.75234,0.43562,1.01733,0.0099406,0.0099406,0.0099406
5,2700.48,0.63867,0.94709,0.63724,1.08691,0.91715,0.93969,0.97315,0.86449,0.91905,0.94163,0.97543,0.87264,0.41316,0.71129,0.51014,0.94401,0.0099208,0.0099208,0.0099208
6,3237.19,0.62456,0.89366,0.58341,1.07049,0.94487,0.83361,0.96319,0.84716,0.94674,0.8356,0.96371,0.86849,0.53543,0.6819,0.50522,0.97782,0.009901,0.009901,0.009901
7,3774.65,0.60252,0.8553,0.61091,1.04846,0.88608,0.96498,0.98157,0.91383,0.88608,0.96498,0.98157,0.90756,0.40887,0.57091,0.38215,0.93462,0.0098812,0.0098812,0.0098812
8,4312.44,0.58856,0.84384,0.53562,1.05292,0.89113,0.94748,0.97516,0.87846,0.89113,0.94748,0.97516,0.89556,0.49312,0.61793,0.46838,1.01527,0.0098614,0.0098614,0.0098614
9,4849.66,0.57274,0.83475,0.57016,1.04923,0.92115,0.94323,0.95944,0.88243,0.9221,0.94421,0.96371,0.89207,0.4211,0.61818,0.39629,0.98205,0.0098416,0.0098416,0.0098416
10,5385.51,0.54622,0.83458,0.50299,1.03131,0.93835,0.9032,0.9601,0.87163,0.93936,0.90417,0.96056,0.86604,0.41981,0.67336,0.44783,0.94928,0.0098218,0.0098218,0.0098218
11,5921.94,0.54931,0.80271,0.48342,1.02779,0.86906,0.81998,0.90251,0.82644,0.86748,0.83074,0.90728,0.81104,0.41373,0.77294,0.64548,0.96605,0.009802,0.009802,0.009802
12,6457.75,0.52931,0.76489,0.51018,1.01967,0.88242,0.82393,0.94927,0.87635,0.88284,0.82588,0.95089,0.87414,0.42343,0.63388,0.42172,0.94885,0.0097822,0.0097822,0.0097822
13,6993.14,0.52979,0.73915,0.4772,1.02025,0.94814,0.94263,0.98714,0.91472,0.94814,0.94263,0.98714,0.9086,0.44182,0.59394,0.35055,0.99393,0.0097624,0.0097624,0.0097624
14,7528.99,0.5122,0.72482,0.43985,1.00804,0.89849,0.90402,0.95426,0.88561,0.88943,0.91051,0.95413,0.87589,0.40964,0.74333,0.57043,0.95877,0.0097426,0.0097426,0.0097426
15,8066.51,0.49823,0.73985,0.44886,1.00585,0.89075,0.90564,0.96019,0.88278,0.8898,0.90467,0.95989,0.86985,0.3851,0.67039,0.40085,0.95996,0.0097228,0.0097228,0.0097228
16,8604.85,0.49499,0.71416,0.44331,1.00536,0.96237,0.92051,0.98575,0.92059,0.96237,0.92051,0.98582,0.92953,0.39419,0.57594,0.3525,0.95402,0.009703,0.009703,0.009703
17,9143.16,0.49481,0.69674,0.48035,1.0069,0.92125,0.97568,0.98266,0.90105,0.92125,0.97568,0.98256,0.9137,0.39783,0.59555,0.3575,0.95379,0.0096832,0.0096832,0.0096832
18,9681.61,0.48707,0.73494,0.45089,0.98643,0.95851,0.92129,0.98029,0.92066,0.95851,0.92129,0.9804,0.93003,0.37815,0.49619,0.32074,0.92573,0.0096634,0.0096634,0.0096634
19,10219.5,0.47022,0.7026,0.40907,0.97805,0.93735,0.89008,0.97025,0.8899,0.93844,0.88971,0.9711,0.89225,0.39691,0.54238,0.37951,0.95446,0.0096436,0.0096436,0.0096436
20,10757.2,0.48818,0.68529,0.42145,1.00127,0.94393,0.91709,0.97957,0.91013,0.94393,0.91709,0.97964,0.91368,0.47426,0.51788,0.41906,1.009,0.0096238,0.0096238,0.0096238
21,11295.6,0.46347,0.68821,0.41756,0.97508,0.97303,0.91148,0.97478,0.91636,0.97303,0.91148,0.97492,0.9096,0.38106,0.5386,0.37975,0.96406,0.009604,0.009604,0.009604
22,11831.6,0.46245,0.69744,0.41763,0.9741,0.93746,0.93872,0.98171,0.93524,0.93746,0.93872,0.9817,0.92269,0.34926,0.52061,0.37727,0.92818,0.0095842,0.0095842,0.0095842
23,12366.9,0.45886,0.64864,0.40265,0.98502,0.92685,0.93669,0.9803,0.91462,0.92685,0.93669,0.9803,0.89711,0.46938,0.65513,0.35308,1.06593,0.0095644,0.0095644,0.0095644
24,12902.8,0.44821,0.68433,0.3893,0.97051,0.87284,0.97489,0.98384,0.90813,0.87197,0.97392,0.98383,0.90424,0.43495,0.57474,0.34621,1.03479,0.0095446,0.0095446,0.0095446
25,13438.8,0.44771,0.64774,0.39462,0.96928,0.97314,0.88521,0.98158,0.90894,0.9758,0.88716,0.98228,0.91935,0.37932,0.54574,0.3426,0.9648,0.0095248,0.0095248,0.0095248
26,13974.8,0.44974,0.66492,0.38991,0.97601,0.9248,0.92704,0.98017,0.90365,0.92577,0.92802,0.98092,0.90921,0.43908,0.6545,0.34994,1.01389,0.009505,0.009505,0.009505
27,14511,0.4405,0.6511,0.38468,0.96838,0.98003,0.9786,0.99002,0.94066,0.98003,0.9786,0.99002,0.94289,0.36273,0.4774,0.27732,0.93182,0.0094852,0.0094852,0.0094852
28,15048,0.45036,0.63687,0.41712,0.97801,0.91996,0.89449,0.97712,0.92317,0.92218,0.90175,0.97823,0.90869,0.38235,0.61042,0.36295,0.95858,0.0094654,0.0094654,0.0094654
29,15583.8,0.44771,0.65323,0.39614,0.98264,0.85481,0.88619,0.92871,0.87153,0.88808,0.85798,0.94113,0.8691,0.3503,0.51472,0.42195,0.94428,0.0094456,0.0094456,0.0094456
30,16120.3,0.43061,0.62486,0.36668,0.96357,0.91215,0.97969,0.98686,0.94232,0.91215,0.97969,0.98686,0.93192,0.34278,0.46742,0.33595,0.93294,0.0094258,0.0094258,0.0094258
31,16656,0.41785,0.60591,0.36523,0.96067,0.92103,0.87357,0.96484,0.90867,0.92205,0.87454,0.96567,0.9112,0.3514,0.4887,0.43431,0.94699,0.009406,0.009406,0.009406
32,17191.3,0.41076,0.59329,0.34995,0.94838,0.86542,0.96962,0.96834,0.9173,0.86542,0.96962,0.96834,0.90218,0.35244,0.55074,0.48586,0.95983,0.0093862,0.0093862,0.0093862
33,17726.9,0.42155,0.6296,0.36867,0.96253,0.94938,0.91226,0.97648,0.91225,0.94938,0.91226,0.9766,0.9294,0.34941,0.45603,0.32867,0.94575,0.0093664,0.0093664,0.0093664
34,18262,0.42007,0.60757,0.35758,0.95273,0.95313,0.93385,0.98433,0.93137,0.95412,0.93482,0.98463,0.93144,0.35786,0.46338,0.30897,0.93659,0.0093466,0.0093466,0.0093466
35,18797.5,0.41051,0.60735,0.3813,0.95181,0.99046,0.90904,0.98831,0.94726,0.99046,0.90904,0.98831,0.93494,0.32946,0.48729,0.27767,0.9198,0.0093268,0.0093268,0.0093268
